DHCP-hash	DHCP-FP	FingerBank-Device-name	Score%
0987f4adb4a2084d53e9750aecec8d8f	58,59,1,28,121,33,3,12,119,15,6,40,41,42	Printer or Scanner/Shandong New Beiyang Information Technology	87
722dcf1e1ff90c47a09071c81677ddb3	1,2,3,4,6,15,42,54,66,43	VoIP Device/Polycom VoIP/Polycom Conference IP Phone	87
602c9de54ffecb8ebdd2bad39e716fe3	1,3,28,15,6,44,69,70,42,12,4	Printer or Scanner/Toshiba Printer/Toshiba Multifunction Printer	87
3d2a90d3af74cebf3da76e44133bc00d	1,3,6,12,15,42,66,150	VoIP Device/Cisco VoIP/Cisco ATA 186	87
2eeb32e31e18f05313382cf0fdd7ff63	1,66,6,3,67,150,43	Switch and Wireless Controller/Cisco Switches/Cisco Catalyst 29xx	87
8e3a91485efa4616477bb99fbc298c98	1,28,3,58,59,6,15,78,79,44,46,69,116,66,67,12	Printer or Scanner/Xerox Printer	87
8f6a591a59fb8877590abf63d0ee50c6	1,15,3,6,44,46,47	Router, Access Point or Femtocell/Router/Cisco/Linksys Router	87
42e0f7989e43cdcb50278f1f2d07143b	1,3,58,59	Audio, Imaging or Video Equipment/Extron/Extron TouchLink Touchpanels	87
f4068dbb375c67cbda980359aca5e66b	1,3,4,23,67,66,43	Switch and Wireless Controller/HP ProCurve Switches/HP ProCurve 3500yl	87
9e385698593982f394d6fa03cfe5a32d	1,28,2,3,15,6,12,40,41,42,26,119	Operating System/Linux OS/RedHat/Fedora-based Linux	87
e5947bd5abba68eb9db9488fa26bc209	1,3,6,15	Xbox	50
fd01dc539b40bece18fc57dcfb8913e2	1,3,12,23,6,15	Printer or Scanner/Canon Printer	87
d4aa812a1594543e2abd4c5da75871c5	1,3,6,12,15,17,28,42	TP-Link Wireless LAN Router	50
b2c5826bc782ad9eb9c0708fca7e1d8d	1,3,6,12,15,28,33,44	Router, Access Point or Femtocell/Router/Belkin Wireless Router	87
355da6ef2659d25f2216a30876b58f76	1,3,6,15,119,95,252,44,46,47	Operating System/Apple OS	87
949651f5776c73dbc85494abe47292b2	1,3,6,15,33,44,46,47,121,249,43,60,212	Operating System/Windows OS/Microsoft Windows Kernel 6.x/Microsoft Windows Kernel 6.2	87
2e5aeb37b05e28cce37c34a7c08047fb	1,28,2,3,15,6,12,4,7,23,26,43,50,51,54,55,60,72	Router, Access Point or Femtocell/Router/Cisco/Linksys Router	87
669ade68e57d61099c9509df171a7bfc	6,3,1,66,15,150	VoIP Device/Cisco VoIP/Cisco IP Phone	87
debfdee41829c71f0eae4102084388b6	1,28,160,66,3,4,42,2,6,15	VoIP Device/Polycom VoIP/Polycom SoundPoint IP/Polycom SoundPoint IP 450	87
6242c451d2b88abcd7ad6542a139396a	1,28,2,3,15,6,4,7,23,26,43,50,51,54,55,60,61,72	Router, Access Point or Femtocell/Router/Actiontec Wireless Router	87
e486de483631b0174ad9269dc691a43b	1,28,3,6,15,2,42,4,66	Video Conferencing/ClearOne/ClearOne Gentner Communications CONVERGE1212 CONVERGE880	87
621b08b9d8a440d8ba6aa806dfde784c	1,3,6,12,15,17,23,28,29,31,33,40,41,42,9,7,44,45,46,47,119	Operating System/Linux OS/SUSE Linux/Novell Desktop	87
7fc71e153da2cb21f71b2382a3dbbc46	1,28,3,6,12,15,53,54,51,58,59,69,44,60	Phone, Tablet or Wearable/Intermec Handheld	87
e2d67a71ce8cab6e22fe2957fceff66a	1,121,33,3,6,12,15,28,42,51,58,59,119	Operating System/Google OS/Android OS	87
038884bd199f72cd0d08c0622a76714f	54,51,6,1,3,15,120	Phone, Tablet or Wearable/Sharp Phone	73
d850cb4ba43a8f6c7223f12b3176ce70	1,28,3,43	Router, Access Point or Femtocell/Wireless Access Point/Cisco WAP	87
78b2b46b479fc6ae4cdf22e7d7564476	1,3,4,23	Switch and Wireless Controller/HP ProCurve Switches	87
7cdcd80d82a877dc612c064e293daddb	1,3,6,12,15,17,23,28,29,31,33,40,41,42	Operating System/Linux OS/Gentoo Linux	87
867919393063959017b7c6e5ec5dc1df	1,3,28,6	Operating System/Embedded OS	87
6bd0e16cb4c8efa02a4dd458203e482d	28,2,3,15,6,12	Audio, Imaging or Video Equipment/Video Equipment (Smart TV, Smart Players, etc.)/TiVo TV	87
2b1eda3fcf0d78fc996e820016aee191	1,28,2,3,15,6,12,40,41,42	Operating System/Linux OS/RedHat/Fedora-based Linux	87
43cf69a368e467e4fee0db9d9267db75	1,3,6,15,112,113,78,79,95	Operating System/Apple OS/Mac OS X or macOS/Mac OS X	87
ba4fd916c99fdbead39a9d20a96498ac	1,3,12,23,6,15,44,47	Printer or Scanner/Kyocera Printer	87
aa96be0f747678dcf452b470a57c7bc2	1,6,15,3,43	VoIP Device/UTStarcom F3000	87
f8de13b9447290186aac803305e52ada	1,28,2,121,15,6,12,40,41,42,26,119,3,121,249,33,252,42	Operating System/Linux OS/Generic Linux	87
107cbc187d74a39373850219c3d11eb7	1,3,6,12,15,28,51,54,58,59	Printer or Scanner/Epson Printer	87
18b275583e6baddab2bd0086faa831e8	1,3,6,12,15,42,66,67,120	VoIP Device/Snom VoIP solutions	88
f6c12d0c767dc3d2ab547586e599e520	28,2,3,15,6,12,44,47	Operating System/Windows OS/Microsoft Windows kernel 5.x/Microsoft Windows Kernel 5.1,5.2	87
